lest1,l_std1,lest2,l_std2,lest3,l_std3,lest4,l_std4
0.10015,0.017277,0.010179,0.0044256,0.013018,0.0057726,0.0027307,0.00040833
0.099696,0.017058,0.0099574,0.0044751,0.01314,0.0059155,0.0027314,0.00046296
0.10025,0.017695,0.010053,0.0043412,0.013488,0.0059164,0.0027215,0.00042232
0.09941,0.016455,0.010074,0.0044896,0.013028,0.0054999,0.0027328,0.00047282
0.099585,0.017511,0.010127,0.0044045,0.013159,0.0056549,0.0027018,0.00040403
0.099421,0.016493,0.010053,0.0043722,0.012779,0.0054719,0.0026816,0.00035946
0.098852,0.017375,0.0097559,0.0043205,0.013381,0.0056419,0.0026955,0.00044153
0.10033,0.01671,0.010099,0.0042603,0.01324,0.0057109,0.0026859,0.00043294
0.099645,0.018081,0.0098486,0.0042445,0.0127,0.0057273,0.0027128,0.00051904
0.099966,0.016944,0.010063,0.0042745,0.013259,0.0058406,0.0026693,0.00040678
0.099661,0.017338,0.0099506,0.0044151,0.013163,0.0056317,0.0026935,0.00049054
0.10012,0.017268,0.0099482,0.0044021,0.012953,0.0057027,0.002671,0.00047821
0.10029,0.016867,0.01007,0.004421,0.012976,0.0057905,0.0026537,0.00041903
0.10021,0.016777,0.009768,0.004324,0.01296,0.005637,0.0026443,0.00041035
0.10115,0.017262,0.010041,0.0043687,0.012987,0.0055422,0.0026324,0.00039364
0.099657,0.01669,0.010072,0.0042641,0.013253,0.0057061,0.0026256,0.00039263
0.099435,0.017446,0.010192,0.0043067,0.012934,0.0056717,0.0026292,0.00042214
0.10073,0.017234,0.010217,0.0043306,0.012765,0.0054133,0.0026046,0.00036596
0.10084,0.016794,0.010048,0.0043327,0.012964,0.005618,0.0026234,0.00045568
0.099474,0.016653,0.010246,0.0042866,0.013033,0.0055605,0.0026168,0.00044011
0.10002,0.016329,0.0098709,0.0043466,0.013111,0.0054861,0.0025873,0.00037154
0.09965,0.017515,0.0099419,0.0043972,0.012905,0.005333,0.0026086,0.00045133
0.09957,0.016573,0.0099773,0.0044225,0.012945,0.0056384,0.0025819,0.00040928
0.10012,0.016218,0.010224,0.0043251,0.013055,0.0055741,0.0026106,0.00048666
0.099621,0.017245,0.010065,0.0042582,0.012984,0.0054756,0.002609,0.00049722
0.1,0.01718,0.009965,0.0041778,0.012681,0.0052995,0.0025725,0.00044855
0.1002,0.017005,0.01001,0.0042997,0.012794,0.0055559,0.002591,0.00050814
0.099644,0.016583,0.010032,0.004315,0.012753,0.0055769,0.0025697,0.00044459
0.10025,0.016568,0.01006,0.0044571,0.012955,0.0055087,0.0025558,0.00042351
0.10011,0.016629,0.0098614,0.0042461,0.012729,0.0055528,0.0025594,0.00044881
0.10003,0.016812,0.010027,0.0044173,0.012905,0.0055075,0.0025481,0.00043479
0.10004,0.016613,0.010172,0.0042691,0.012639,0.0055149,0.002532,0.00042121
0.099937,0.017037,0.010064,0.004288,0.012767,0.0055684,0.002543,0.00045177
0.099525,0.016755,0.010164,0.0043518,0.012909,0.0056264,0.0025368,0.00046382
0.10074,0.016879,0.0097604,0.0043539,0.012586,0.0056548,0.0025379,0.00049263
0.099709,0.016803,0.010024,0.0044059,0.012612,0.0054034,0.0025122,0.00041627
0.10064,0.016539,0.010007,0.0043711,0.012826,0.0055575,0.0025061,0.00042929
0.10112,0.016505,0.010015,0.0043455,0.012795,0.0055265,0.002534,0.00050976
0.10082,0.016472,0.010048,0.0042498,0.012567,0.0052908,0.0025109,0.00046994
