jest1, j_std1, jest2, j_std2, jest3 ,j_std3, jest4, j_std4
0.10011,0.016898,0.0098418,0.0048458,0.011317,0.0056426,0.0015085,0.0005122
0.10003,0.017083,0.010031,0.0050394,0.0115,0.0055964,0.0014986,0.00049602
0.10005,0.01688,0.010197,0.0048686,0.011235,0.0056035,0.0014831,0.00048037
0.099936,0.01731,0.010073,0.0048886,0.011369,0.0056577,0.0014986,0.00051505
0.099518,0.017023,0.010187,0.0049596,0.011518,0.0057162,0.0014944,0.0005286
0.10075,0.017147,0.009727,0.0049603,0.011194,0.0057449,0.0014986,0.00056124
0.099705,0.01707,0.010028,0.0050178,0.011225,0.0054891,0.0014722,0.00047409
0.10065,0.0168,0.010008,0.0049765,0.011446,0.0056454,0.0014681,0.00048875
0.10114,0.016766,0.010017,0.0049457,0.01142,0.0056137,0.0015028,0.00058016
0.10083,0.016731,0.010055,0.0048351,0.011192,0.005374,0.0014793,0.00053467
0.10034,0.016749,0.009989,0.0047588,0.011091,0.0054976,0.0014231,0.00038555
